name,wikipedia_link
Apurímac spinetail,https://wikipedia.org/wiki/Apur%C3%ADmac_spinetail
Aquatic warbler,https://wikipedia.org/wiki/Aquatic_warbler
Arabian accentor,https://wikipedia.org/wiki/Arabian_accentor
Arabian babbler,https://wikipedia.org/wiki/Arabian_babbler
Arabian bustard,https://wikipedia.org/wiki/Arabian_bustard
Arabian golden sparrow,https://wikipedia.org/wiki/Arabian_golden_sparrow
Arabian golden-winged grosbeak,https://wikipedia.org/wiki/Arabian_golden-winged_grosbeak
Arabian partridge,https://wikipedia.org/wiki/Arabian_partridge
Arabian scops owl,https://wikipedia.org/wiki/Arabian_scops_owl
Arabian serin,https://wikipedia.org/wiki/Arabian_serin
Arabian warbler,https://wikipedia.org/wiki/Arabian_warbler
Arabian waxbill,https://wikipedia.org/wiki/Arabian_waxbill
Arabian wheatear,https://wikipedia.org/wiki/Arabian_wheatear
Arabian woodpecker,https://wikipedia.org/wiki/Arabian_woodpecker
Arafura fantail,https://wikipedia.org/wiki/Arafura_fantail
Arafura shrikethrush,https://wikipedia.org/wiki/Arafura_shrikethrush
Araripe manakin,https://wikipedia.org/wiki/Araripe_manakin
Araucaria tit-spinetail,https://wikipedia.org/wiki/Araucaria_tit-spinetail
Archbold's bowerbird,https://wikipedia.org/wiki/Archbold%27s_bowerbird
Archbold's newtonia,https://wikipedia.org/wiki/Archbold%27s_newtonia
Archbold's nightjar,https://wikipedia.org/wiki/Archbold%27s_nightjar
Archbold's owlet-nightjar,https://wikipedia.org/wiki/Archbold%27s_owlet-nightjar
Archer's buzzard,https://wikipedia.org/wiki/Archer%27s_buzzard
Archer's ground robin,https://wikipedia.org/wiki/Archer%27s_ground_robin
Archer's lark,https://wikipedia.org/wiki/Archer%27s_lark
Arctic redpoll,https://wikipedia.org/wiki/Arctic_redpoll
Arctic tern,https://wikipedia.org/wiki/Arctic_tern
Arctic warbler,https://wikipedia.org/wiki/Arctic_warbler
Arfak astrapia,https://wikipedia.org/wiki/Arfak_astrapia
Arfak catbird,https://wikipedia.org/wiki/Arfak_catbird
Arfak honeyeater,https://wikipedia.org/wiki/Arfak_honeyeater
Aripuana antwren,https://wikipedia.org/wiki/Aripuana_antwren
Arizona woodpecker,https://wikipedia.org/wiki/Arizona_woodpecker
Armenian gull,https://wikipedia.org/wiki/Armenian_gull
Arnot's chat,https://wikipedia.org/wiki/Arnot%27s_chat
Arrowhead piculet,https://wikipedia.org/wiki/Arrowhead_piculet
Arrowhead warbler,https://wikipedia.org/wiki/Arrowhead_warbler
Arrow-marked babbler,https://wikipedia.org/wiki/Arrow-marked_babbler
Ascension crake,https://wikipedia.org/wiki/Ascension_crake
Ascension frigatebird,https://wikipedia.org/wiki/Ascension_frigatebird
Ascension night heron,https://wikipedia.org/wiki/Ascension_night_heron
Ashambu laughingthrush,https://wikipedia.org/wiki/Ashambu_laughingthrush
Ash-breasted antbird,https://wikipedia.org/wiki/Ash-breasted_antbird
Ash-breasted sierra finch,https://wikipedia.org/wiki/Ash-breasted_sierra_finch
Ash-breasted tit-tyrant,https://wikipedia.org/wiki/Ash-breasted_tit-tyrant
Ash-browed spinetail,https://wikipedia.org/wiki/Ash-browed_spinetail
